,Scheduler,,,,,,,,,,
Shift,beta,beta57,bong_tangent,ddim_uniform,exponential,karras,kl_optimal,linear_quadratic,normal,sgm_uniform,simple
0.5,3,2,7,1,1,1,2,13,2,1,1
1,4,3,8,2,1,1,2,13,2,2,2
1.5,5,3,8,3,1,1,2,13,3,3,3
2,6,4,8,4,1,1,2,13,4,4,4
2.5,6,5,8,5,1,1,2,13,5,5,5
3,7,5,8,6,1,1,2,13,6,6,6
3.5,8,6,8,6,1,1,2,13,7,7,7
4,8,6,8,7,1,1,2,13,7,7,7
4.5,9,7,8,7,1,1,2,13,8,8,8
5,9,7,8,8,1,1,2,13,8,8,8
5.5,9,7,8,8,1,1,2,13,8,9,9
6,10,7,8,8,1,1,2,13,9,9,9
6.5,10,8,8,9,1,1,2,13,9,10,10
7,10,8,8,10,1,1,2,13,10,10,10
7.5,10,8,8,10,1,1,2,13,10,10,10
8,11,8,8,10,1,1,2,13,10,11,11
8.5,11,9,8,11,1,1,2,13,10,11,11
9,11,9,8,11,1,1,2,13,10,11,11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
For 20 steps,,,,,,,,,,,
2.5,,,,,,,,,,,
